fix_sha	short_sha	symptom_class	secondary_classes	english_explanation	entry_point	fault_site	exact_path	path_tier	path_fidelity	steps_total	steps_observed	steps_unmeasurable	reproducer_rung	reproducer_selector	failure_channel	parent_sha	fault_line_coverage	symptom_confidence	issue_ref	subsystem	deep_traced
89d31b4c87b3270b11031f823a723e2eca0fbcbb	89d31b4c	SECURITY_EXPOSURE	API_CONTRACT_VIOLATION	"Multipart form field names were escaped for double quotes only (val.replace(""\"""", ""%22"")), leaving CR/LF untouched, so a field or file name containing a newline was written raw into the Content-Disposition header line. KeyVal#contentType(String) had the same shape, accepting a content-type with embedded CR/LF and validating nothing. Together these allow CRLF injection into the serialized multipart request."	org.jsoup.helper.HttpConnection#encodeMimeName(Ljava/lang/String;)Ljava/lang/String;	"HttpConnection#encodeMimeName, old lines 119-121; HttpConnection$KeyVal#contentType"	"ROUTE 1: HttpConnection#encodeMimeName(String) [ENTRY + FAULT, old lines 119-121] || ROUTE 2: HttpConnection$KeyVal#contentType(String) [ENTRY + FAULT]"						T1_NATIVE	HttpConnectionTest#mimeContentTypeRejectsNewlines+mimeNameEscapesQuotesAndNewlines	ASSERTION		1	0.5	PR (no issue)	helper/HttpConnection	no
e87be9dbf2eb0f484f986ada3a8b6f38372c56b7	e87be9db	HANG_DEADLOCK	DATA_CORRUPTION_OR_LOSS	"Element#appendChild accepted an element as its own child with no cycle check, making it simultaneously its own parent and child. Any later traversal or serialization walked the cycle forever, including the test framework's own failure reporting. Reporter's whole repro was two lines: Element e = new Element(Tag.valueOf(""div""), """"); e.appendChild(e);"	org.jsoup.nodes.Element#appendChild(Lorg/jsoup/nodes/Node;)Lorg/jsoup/nodes/Element;	"Node#setParentNode, old lines 538-544"	Element#appendChild(Node) [ENTRY] -> Node#reparentChild(Node) -> Node#setParentNode(Node) [FAULT]	OBSERVED	FULL	2	2	0	T1_NATIVE	NodeTest#rejectsAncestorAsChild+rejectsAncestorReplacement+rejectsCyclicBatchAtomically+rejectsCyclicWholeSourceMove+rejectsSelfParenting+allowsPopulatedSubtreeMove	ASSERTION		1	0.55	#2552	nodes	no
b6fabf85043750c895294c0f72ee16279c593ddb	b6fabf85	HANG_DEADLOCK		"A regression from jsoup 1.21.2 (change for #2355) made NodeTraversor re-enter head() on whatever node occupied the current sibling position after replaceWith(), before()+remove(), or after()+remove(). Calling replaceWith() inside a visitor's head() therefore looped indefinitely. Maintainer confirmed and refactored the traversal into a forward-cursor walk."	org.jsoup.select.NodeTraversor#traverse(Lorg/jsoup/select/NodeVisitor;Lorg/jsoup/nodes/Node;)V	"NodeTraversor#traverse(NodeVisitor,Node) - same method as entry point"	"NodeTraversor#traverse(NodeVisitor,Node) [ENTRY + FAULT, zero hops]"	OBSERVED	FULL	0	0		T1_NATIVE	TraversorTest#replacementInHeadCanTailReplacementAndVisitChildren	ASSERTION	f727535bcae771a26daf9dff585a8bfd9f015668	0.931	0.85	#2472	select	yes
bd345ac50a19440c76956b6253fa61e24e084f71	bd345ac5	CRASH_UNCAUGHT_EXCEPTION	RESOURCE_LEAK	"XmlTreeBuilder overrode defaultMaxDepth() to return Integer.MAX_VALUE, while the HTML tree builder uses TreeBuilder's bounded default of 512. Deeply nested XML therefore grew the stack without limit until the JVM failed. The fix removes the override entirely."	org.jsoup.parser.XmlTreeBuilder#insertElementFor(Lorg/jsoup/parser/Token$StartTag;)V	XmlTreeBuilder#defaultMaxDepth (old lines 104-108) and Parser#xmlParser calling setMaxDepth(Integer.MAX_VALUE)	"Parser#xmlParser() -> Parser#<init>(TreeBuilder) -> XmlTreeBuilder#defaultMaxDepth() [FAULT A] ; Parser#xmlParser() -> Parser#setMaxDepth(int) [FAULT B] ~~ writes Parser#maxDepth field, NO CALL EDGE ~~ XmlTreeBuilder#insertElementFor(Token$StartTag) [ENTRY] -> TreeBuilder#enforceStackDepthLimit() -> Parser#getMaxDepth()"	DISCONNECTED	PARTIAL	5	5	0	T1_NATIVE	XmlTreeBuilderTest#deepEndTagClosesElement+xmlParserCanUseUnlimitedDepth+xmlParserHasDefaultDepth	ASSERTION		1	0.5	PR #2570	parser/XML	no
3475afc43aae34001dc45f1697dcf3d389ebb9c4	3475afc4	CRASH_UNCAUGHT_EXCEPTION		"Attributes#checkNotNull cast any non-null attribute value straight to String (return val == null ? EmptyString : (String) val), but the class's own userData() method stores a Map<String,Object> in an internal attribute slot. Any read path over an element carrying user data threw ClassCastException."	org.jsoup.nodes.Attributes#get(Ljava/lang/String;)Ljava/lang/String;	Attributes#checkNotNull - unconditional (String) cast	Selector#select -> Collector#collect -> Collector#stream -> Evaluator#asPredicate lambda -> Evaluator$AttributeWithValue#matches -> Node#attr -> Attributes#getIgnoreCase -> Attributes#checkNotNull [FAULT]	OBSERVED	PARTIAL	10	10	0	T1_NATIVE	SelectorTest#attributeSelectorHandlesInternalData	EXCEPTION		1	0.65		nodes/Attributes	no
5ee2e11a8f5b6f3c32b7edef246d5623223aa53e	5ee2e11a	CRASH_UNCAUGHT_EXCEPTION		"Attribute.getValidKey() returns null for a name that cannot legally start an XML name, such as ""1abc"". The attribute-setting caller null-checked that return; the element-name caller in W3CBuilder#head did not, and dereferenced it via tagName.contains("":""), throwing NullPointerException during W3CDom conversion."	org.jsoup.helper.W3CDom#fromJsoup(Lorg/jsoup/nodes/Document;)Lorg/w3c/dom/Document;	W3CDom$W3CBuilder#w3cSafeName / head - unguarded dereference	W3CDom#fromJsoup(Document) -> W3CDom#fromJsoup(Element) -> W3CDom#convert -> NodeVisitor#traverse(Node) -> NodeTraversor#traverse -> W3CDom$W3CBuilder#head -> W3CDom$W3CBuilder#w3cSafeName [FAULT]	OBSERVED	PARTIAL	6	6	0	T1_NATIVE	W3CDomTest#normalizesElementNamesWithInvalidXmlStarts	EXCEPTION		1	0.65	#2560	helper/W3CDom	no
823709f519995492d9a092fe315af389616e58f8	823709f5	CRASH_UNCAUGHT_EXCEPTION	API_CONTRACT_VIOLATION	"For inputs small enough to be fully consumed inside the 5 KB charset-sniff read-ahead, DataUtil's charset detection read and closed the entire input - a valid optimization for parse(), which can reuse the fully sniffed Document. But streamParser() still needs a live readable input afterward, and Validate.notNull(input) then threw ValidationException: Object must not be null."	org.jsoup.parser.StreamParser#complete()Lorg/jsoup/nodes/Document;	DataUtil#detectCharset - closes/consumes the input it was only meant to sniff	"DataUtil#streamParser(Path,Charset,String,Parser) [ENTRY] -> DataUtil#detectCharset(ControllableInputStream,String,String,Parser) [FAULT] ~~ state-mediated, NO CALL EDGE ~~ observing read throws ValidationException"	DISCONNECTED	PARTIAL	1	1		T1_NATIVE	DataUtilTest#streamParserWorksWhenCharsetDetectionFullyReadsFile	EXCEPTION	e1b0df5fec53710214cd700de38d82e1ca92bd79	1	0.85	#2483	parser/helper	yes
49e58c202883648925db5bb2b7d3f3d010a518f8	49e58c20	CRASH_UNCAUGHT_EXCEPTION	PERFORMANCE_DEGRADATION	"During charset sniffing jsoup called InputStream.available() purely as a speed hint. On JDK 8's legacy HttpURLConnection, available() throws IOException: Stream closed once the peer closes the socket, and the unguarded call aborted the whole parse. Reporter found it chasing a flaky ConnectTest.maxBodySize failure on JDK 8 Ubuntu CI; in their words the exception 'was too strong a signal'. Fix wraps both call sites in try/catch."	org.jsoup.internal.SimpleStreamReader#read([CII)I	"SimpleBufferedInput#fill, old line 83 ('if (in.available() < 1) break;'); also SimpleStreamReader#read decode-underflow branch"	"RECORDED ROUTE A (0 of 2 observed): SimpleStreamReader#read(char[],int,int) [ENTRY] -> SimpleBufferedInput#available() [FAULT] || ROUTE B ACTUALLY EXECUTED: ControllableInputStream#read(byte[],int,int) -> SimpleBufferedInput#read(byte[],int,int) -> SimpleBufferedInput#fill() [FAULT, old line 83]"	HYPOTHESIZED	PARTIAL	2	0		T1_NATIVE	DataUtilTest#charsetSniffingIgnoresAdvisoryAvailableIOException	EXCEPTION	b77e51bac1191faf328fa52ae29fcaf9d0456954	1	0.75	#2474	internal	yes
38ea7f89179094432dcbabb873e7fff407f28c1a	38ea7f89	CRASH_UNCAUGHT_EXCEPTION		"Re2jRegex$Re2jMatcher#find caught only StackOverflowError around the delegate re2j matcher's find(), wrapping it into ValidationException(PatternComplexityError); other allocation failures from the regex engine escaped unnormalized. The fix broadens the catch so allocation errors are normalized consistently."	org.jsoup.helper.Re2jRegex$Re2jMatcher#find()Z	Re2jRegex$Re2jMatcher#find - catch clause too narrow	NOT TRACED - no reproducer	NOT_TRACED					T4_STATIC				0.5	0.6		internal/regex	no
84ca201d9f9ef4bc7ff281a38613a7bef9090984	84ca201d	DATA_CORRUPTION_OR_LOSS	INCORRECT_OUTPUT	"W3CDom.fromJsoup dropped XML processing instructions and any comment outside the root element, and converted CDataNode instances into ordinary text nodes. Silent, observable data loss during DOM conversion - no exception and no warning; the caller simply received less document than they supplied."	org.jsoup.helper.W3CDom#fromJsoup(Lorg/jsoup/nodes/Document;)Lorg/w3c/dom/Document;	"W3CDom$W3CBuilder#head - intra-method instanceof dispatch chain with no branch for PI, document-level comment, or CDATA"	"W3CDom#fromJsoup(Document) [ENTRY] -> W3CDom#fromJsoup(Element) -> W3CDom#convert(Element,org.w3c.dom.Document) -> NodeVisitor#traverse(Node) -> W3CDom$W3CBuilder#head(Node,int) -> [FAULT: intra-method instanceof dispatch chain]"	OBSERVED	FULL	5	5		T1_NATIVE	W3CDomTest#preservesProcessingInstructions+preservesDocumentLevelComments+preservesCdataSections	ASSERTION	598a895abe717a18d9f8b2df27d8c19799e7ae64	1	0.75	#2572	helper/W3CDom	yes
